prompt_id,symptom,severity,original_text,rephrase_1,rephrase_2,rephrase_3,rephrase_4,rephrase_5
bdi_1_0,sadness,0,I do not feel sad.,I'm doing well right now,When I wake up I feel ready for my day,So much has been going on lately but I'm doing good,I feel great today!,I feel okay
bdi_1_1,sadness,1,I feel sad.,I've been feeling a bit down,When I wake up I feel sad,So much has been going on lately and I feel sad about it at the end of the day,I feel miserable,I don't feel happy
bdi_1_2,sadness,2,I am sad all the time and I can't snap out of it.,I've been down a lot lately and I'm not sure how I can change it,When I wake up I usually feel sad and it doesn't go away all day.,So much has been going on lately and I feel so sad about it all the time.,I always feel miserable,I never seem to feel happy 
bdi_1_3,sadness,3,I am so sad and unhappy that I can't stand it.,I feel so down all the time it's overwhelming,When I wake up I usually feel sad and it's getting to be too much for me.,So much has been going on lately and I feel a sadness that I can't escape.,I can't withstand the weight of my misery.,I am never happy and that's so overwhelming
bdi_2_0,hopelessness,0,I am not particularly discouraged about the future.,I have lots to look forward to next month,"Looking ahead, things going to be alright",I'm excited about what's next,I feel hopeful,Today feels like it will be a good day
bdi_2_1,hopelessness,1,I feel discouraged about the future.,Next month is probably going to be bad,"Looking ahead, things are going to be tough",I'm not feeling great about what's next,I don't feel optimistic about the future,I'm not optimistic about tomorrow
bdi_2_2,hopelessness,2,I feel I have nothing to look forward to.,I'm not excited about anything coming up next month,"Looking ahead, I'm not sure there's anything good for me",I'm feeling bad about everything that's next,I don't feel like waking up to the next day ,I know tomorrow holds nothing for me
bdi_2_3,hopelessness,3,I feel the future is hopeless and that things cannot improve.,Next month is going to be horrible and I'm not sure things will ever get better,"Looking ahead, everything is going to be bad and it's never getting better",I have no hope for what's next and it'll always be like this,There's no point in trying to do anything ,I am deeply pessimistic about the future and I cannot be convinced otherwise
bdi_3_0,failure,0,I do not feel like a failure.,I make mistakes sometimes but I still feel good about myself,I mess things up sometimes but it's all good,I get things wrong from time to time but it's okay,I feel accomplished,I feel like I have value
bdi_3_1,failure,1,I feel I have failed more than the average person.,I keep making mistakes and it seems like my friends are all doing better than me,I'm always messing things up more than others,I'm getting things wrong all the time,I don't feel as accomplished as others,I think I have tripped over life's hurdles more than most people
bdi_3_2,failure,2,"As I look back on my life, all I can see is a lot of failures.",I've realized that my life has been a series of big mistakes,I've messed up so many times in my life ,I understand now that I've always been getting things wrong,I have done nothing worthwhile,I don't think I have done anything meaningful in life
bdi_3_3,failure,3,I feel I am a complete failure as a person.,I've made so many mistakes that I know I'll never be able to make up for them,I've messed up so much in my life that I feel worthless now,I always get everything wrong and feel defined by it,Everything I do is worth nothing and that's all I am,"When I think about my past, I see nothing but disappointment"
bdi_4_0,dissatisfaction,0,I get as much satisfaction out of things as I used to.,I'm enjoying doing more activities,I have fun doing the things I like,It's definitely worth doing things I like,I am enjoying all of my current hobbies ,I feel content about the way things are
bdi_4_1,dissatisfaction,1,I don't enjoy things the way I used to.,I usually love the activities I plan into my week but they've felt pretty boring lately,Things I like aren't as fun as they used to be,I'm questioning the point of the things I used to like,I don't like my hobbies as much as I used to ,I used to savor every moment but I don't anymore
bdi_4_2,dissatisfaction,2,I don't get real satisfaction out of anything anymore.,None of the activities I've planned for my week are appealing to me anymore,Nothing feels really fun to me anymore,I've realized there's no point in the things I used to like,I've tried to do so many new things but everything feels boring ,Nothing seems to really please me
bdi_4_3,dissatisfaction,3,I am dissatisfied or bored with everything.,I hate doing all the activities I used to enjoy,Nothing at all feels fun to me anymore,I know now that everything I used to like is completely pointless,Nothing I do brings me joy,I am completely uninterested in everything
bdi_5_0,guilt,0,I don't feel particularly guilty.,I do things wrong sometimes but I don't blame myself,I let my family down but I know they'll forgive me,I've done a few bad things in life but I don't get caught up on them,I make mistakes but I try to learn from them,I'm no saint but I'm as good as anyone else
bdi_5_1,guilt,1,I feel guilty a good part of the time.,When I do things wrong I sometimes feel like it's my fault,I'm disappointed in myself for letting my family down,I often regret the bad things I've done in life,Sometimes I beat myself up about my mistakes,"Pretty often, I feel I have done something wrong"
bdi_5_2,guilt,2,I feel quite guilty most of the time.,Most of the things I do wrong feel like my fault,I feel pretty bad about letting my family down,I'm filled with regret about the bad things I've done in life,I can't stop worrying about the mistakes I have made,"More often than not, I feel I am to blame"
bdi_5_3,guilt,3,I feel guilty all of the time.,Everything that goes wrong feels like it's my fault,I hate myself for letting my family down,I always feel so terrible for the bad things I've done in life,There's so many mistakes I have made and I feel terrible about them,I feel remorseful all the time
bdi_6_0,punishment,0,I don't feel I am being punished.,Sometimes things go bad but that's just life,It just started storming outside,I've sinned but I know I'm forgiven,"I've taken responsibility for all my actions, good and bad",I don't think I'm being made to feel I've done something wrong
bdi_6_1,punishment,1,I feel I may be punished.,I think things might go bad because of me,It just started storming outside and maybe it's because of me,I might be punished for my sins,I did something bad and am scared about how it will come back to me,I think there's a chance I will be chastised
bdi_6_2,punishment,2,I expect to be punished.,Things will probably go bad because of me,I think it's going to start storming outside because of me,I think I'll be punished because of my sins,"When things don't go the way I hoped, I feel like it's my karma coming back to me",I deserve to pay for my sins
bdi_6_3,punishment,3,I feel I am being punished.,Everything is going bad because of me,It just started storming outside and I know it was sent because of me,I know I'm being punished right now for my sins,Everything feels like it always has to go against me,I think I am being crucified
bdi_7_0,disappointment,0,I don't feel disappointed in myself.,I'm not the best player on my team this season but I'm proud of myself for trying hard,I should have tried harder on my work but I know I will next time,I'm a good person,I feel proud of myself ,I am decently proud of some of my achievements
bdi_7_1,disappointment,1,I am disappointed in myself.,I'm annoyed at myself for not being a better player on my team,I'm mad I didn't try harder on my work,I'm not the best as a person,I don't feel proud of myself,I have not lived up to my expectations
bdi_7_2,disappointment,2,I am disgusted with myself.,I'm furious at myself for being a bad player for my team all season,I feel terrible that I didn't try harder on my work,I'm not good enough a person,"When I look in the mirror, I don't see anything good looking back at me",I know I will always let myself down 
bdi_7_3,disappointment,3,I hate myself.,I hate myself for being a bad player on my team all season,I'm the absolute worst for not trying harder on my work,I'm a terrible person,I am repulsed by the person I am,I abhor everything about me
bdi_8_0,blame,0,I don't feel I am any worse than anybody else.,I'm as good as anyone else at college,There's nothing wrong with me,I feel good about myself,I am unique in my own way,I am no better nor worse than others around me 
bdi_8_1,blame,1,I am critical of myself for my weaknesses or mistakes.,I'm mad at myself for getting some bad grades in college ,There are some things wrong with me ,I feel bad about my flaws ,I hate that I make so many mistakes,I am painfully aware of my wrongdoings
bdi_8_2,blame,2,I blame myself all the time for my faults.,The bad grades I've gotten in school are all my fault,There's a lot that's wrong with me and I feel like it's my fault,I feel so bad about myself,I can never do anything right,I rebuke myself for my mistakes very often
bdi_8_3,blame,3,I blame myself for everything bad that happens.,Everything that's going wrong for me in college is all my fault,Everything wrong with me is my fault,I know I'm terrible and I'm always making things go wrong,Everything wrong in my life feels like it's my fault ,I feel I am accountable for anything that goes wrong
bdi_9_0,suicidality,0,I don't have any thoughts of killing myself.,Life seems pretty good,Life is going alright,I love life,I've been loving life lately,I feel good about my life
bdi_9_1,suicidality,1,"I have thoughts of killing myself, but I would not carry them out.",Sometimes I think about ending it but I won't,Sometimes I want to go away forever but I won't do it,Sometimes I think living is too much but I'm not going to do anything,Sometimes I think about ending it all but I know I could never do it,"Occasionally I have suicidal thoughts, but I would never get myself to do it"
bdi_9_2,suicidality,2,I would like to kill myself.,I want to end it,I want to go away forever,I don't want to live ,I want to escape my sadness forever,I want to run away from this life for good
bdi_9_3,suicidality,3,I would kill myself if I had the chance.,I would end it if I could,I would go away forever if I knew how,I don't want to live anymore and I'd stop if I could,I can't wait to die,"If the opportunity presented itself, I'd commit suicide"
bdi_10_0,crying,0,I don't cry any more than usual.,I've been happy lately,I don't cry often,I've been crying a lot less than I used to,I feel pretty good lately,I cry at a normal rate
bdi_10_1,crying,1,I cry more now than I used to.,I'm tearing up more often than usual,I've found myself sobbing a few times recently,I find myself crying sometimes,I have been feeling like crying lately,I let out a tear pretty often
bdi_10_2,crying,2,I cry all the time now.,I'm always tearing up,I'm always sobbing now,I've been crying all the time recently,Everything makes me cry,I cry uncontrollably every day
bdi_10_3,crying,3,"I used to be able to cry, but now I can't cry even though I want to.",I wish I could cry but tears don't come out,I would by sobbing but I can't get myself to anymore,I wish I could cry but I can't even anymore,I used to cry all the time but I can't even bring myself to do that anymore,I used to be able to let out my emotions but now I feel numb
bdi_11_0,irritability,0,I am no more irritated by things than I ever was.,I get annoyed sometimes but just by the usual stuff,I don't get pissed off much ,I've been feeling calm lately,I can feel irritated sometimes but that's completely natural ,I don't get annoyed at things too often
bdi_11_1,irritability,1,I am slightly more irritated now than usual.,Little inconveniences are starting to annoy me more,I've been getting pissed off a bit more than usual,I'm frustrated a bit more than I used to be,Some things seem to annoy me more than usual lately,Small things irk me more now than they did before
bdi_11_2,irritability,2,I am quite annoyed or irritated a good deal of the time.,Lots of things have been annoying lately,I'm pissed off a lot these days,I've been really frustrated lately,Everything seems to annoy me,"Pretty often, things have started getting on my nerves"
bdi_11_3,irritability,3,I feel irritated all the time.,I'm always feeling annoyed now,I'm pissed off all the time now,I just feel like I'm always frustrated,I constantly feel annoyed by everything,I feel angry at the smallest things all the time
bdi_12_0,disinterest,0,I have not lost interest in other people.,I'm planning to hang out with friends this week,I like seeing other people more than being by myself,I like spending time with others,I love hanging out with my friends,I care about other people as much as I used to
bdi_12_1,disinterest,1,I am less interested in other people than I used to be.,I'm not as excited to see my friends as I used to be,I'd usually rather stay by myself than see other people,I don't spend as much time around others as I used to,I don't feel like hanging out with my friends sometimes,I can't be bothered nowadays about some stuff people do
bdi_12_2,disinterest,2,I have lost most of my interest in other people.,I've been okay with not seeing my friends lately,"I don't really want see other people, I'd rather be by myself",I hardly spend any time around others anymore,I don't feel like socialising with my friends,I feel like staying alone most of the time
bdi_12_3,disinterest,3,I have lost all of my interest in other people.,I don't want to see any of my friends anymore,I want to be by myself and never see other people,I don't ever want to spend time around people ,I don't feel like talking to anyone,"I don't like meeting anybody, I just stay in my room"
bdi_13_0,decision,0,I make decisions about as well as I ever could.,I can make choices pretty easily,I can decide things whenever I need to,I can figure out what to do next,I feel level-headed in times of decision making,I feel okay with the choices I make
bdi_13_1,decision,1,I put off making decisions more than I used to.,I feel like I'm procrastinating making choices,I usually don't decide things right away,I'm avoiding figuring out what to do next,I feel indecisive when I have to choose something,I procrastinate more than before
bdi_13_2,decision,2,I have greater difficulty in making decisions more than I used to.,Choices are so hard to make right now,It's really hard to decide things,It's so hard to figure out what to do next,I wish I had someone to help me make decisions because I always think I'll choose wrong,I feel stymied when I have to make a choice far more now
bdi_13_3,decision,3,I can't make decisions at all anymore.,Making choices just seems impossible,I can never bring myself to decide things,I'll never be able to figure out what to do next ,I am not able to tell the difference between good and bad for myself,I get frozen and can't decide anything
bdi_14_0,self image,0,I don't feel that I look any worse than I used to.,I think I look good,I think I'm handsome,I know I'm pretty,I like how I look,I am content with how I look
bdi_14_1,self image,1,I am worried that I am looking old or unattractive.,I think I'm not as hot as my friends,I think I might not be that handsome,I don't think I look that good anymore,I think I could start exercising more because I don't look as good as I could,I don't feel I have that glow anymore
bdi_14_2,self image,2,I feel there are permanent changes in my appearance that make me look unattractive.,I've realized that the scars on my arms make me way less hot than my friends,I think I will never really be handsome again,My face looks so bad and it'll always be like this,I have loose skin and I feel so ugly when I look at my arms,I don't feel good about my body and I don't think there's much I can do about it
bdi_14_3,self image,3,I believe that I look ugly.,I'm pretty ugly compared to my friends,I am definitely not handsome to anyone,I look so bad I don't think anyone is attracted to me,I hate that this is the face I was born with and I can't change it,I despise every moment I have to look at myself in the mirror
bdi_15_0,work,0,I can work about as well as before.,Work's been going well,I can get going on tasks when I need to,I'm working hard on my projects,I feel productive at work,My productivity is pretty much unchanged
bdi_15_1,work,1,It takes an extra effort to get started doing something.,Starting my work in the morning has been a little harder lately,It's getting harder to get going on tasks,It's taking a lot of effort to get myself to make progress on my projects,I feel like I'm always having to find an extra bump of energy to do even small tasks at work,I have to push myself to do certain tasks
bdi_15_2,work,2,I have to push myself very hard to do anything.,It's taking a lot more effort than usual for me to get work done,It's really hard to get going on tasks,It's so hard to get myself to make progress on my projects,I don't feel like doing much and it takes so much effort to motivate myself,I don't feel like doing anything and it takes a lot of mental effort to get going
bdi_15_3,work,3,I can't do any work at all.,I haven't been able to get any work done this week,I can't get going on my tasks anymore,I can't get myself make any progress on my projects,I have no motivation to do anything,I'd rather coop up in my bed all day long than do any work
bdi_16_0,sleep,0,I can sleep as well as usual.,I've been sleeping well,I fall asleep pretty easily,My sleep's been good ,I have been sleeping really well this week,Nothing much to complain about my sleep
bdi_16_1,sleep,1,I don't sleep as well as I used to.,I've been tossing and turning in bed,I stare at my ceiling for a bit before I fall asleep,I can't sleep as well as I want to,I wasn't able to sleep much last night,I wake up more tired in the morning after a night of sleep
bdi_16_2,sleep,2,I wake up 1-2 hours earlier than usual and find it hard to get back to sleep.,I've been waking up before my alarm and lying in bed for an hour until it goes off,I usually end up staring at my ceiling before my alarm goes off,I keep waking up too early ,I wake up randomly a few hours before I'm supposed to and am not able to fall back asleep ,I wake up earlier than I used to and find myself lying awake
bdi_16_3,sleep,3,I wake up several hours earlier than I used to and cannot get back to sleep.,I've been getting up in the middle of the night and lying awake for a long time,I feel like I'm staring at the ceiling all night,I've been waking up so early I feel like I don't get any sleep,I wake up randomly in the middle of the night and am not able to fall back asleep ,"Within a few hours of going to bed, I am wide awake and can't sleep again"
bdi_17_0,tiredness,0,I don't get more tired than usual.,I'm only sleepy when I get up in the mornings,I feel awake once I get going with my day,I feel like I have a good amount of energy lately,I feel energetic,My energy levels have not changed much
bdi_17_1,tiredness,1,I get tired more easily than I used to.,I've been sleepier than usual lately,I find myself wanting to sleep more than I used to,I've been exhausted the past week,I have been feeling quite exhausted lately,I feel lethargic more often now
bdi_17_2,tiredness,2,I get tired from doing almost anything.,I feel sleepy all day long,I want to go back to sleep whenever I work for a little bit,I've been getting so exhausted recently that I usually just lie around,Most things tire me out a lot lately ,The lightest effort gets me worked up nowadays
bdi_17_3,tiredness,3,I am too tired to do anything.,I'm so sleepy that all I can do is lie around,I keep falling asleep and I can't get anything done,I'm too exhausted to get going on anything these days,I have no energy to do anything ,My energy is always drained and I can't do any work
bdi_18_0,appetite,0,My appetite is no worse than usual.,Lately I've been enjoying dinner,I eat just like usual,I'm just as hungry as usual,I have been eating really well this year,I don't feel like eating much nowadays
bdi_18_1,appetite,1,My appetite is not as good as it used to be.,Lately I've been eating a smaller dinner,I'm eating a little less than usual,I'm only sometimes hungry these days,I have not been eating as much food lately,I'm probably eating just one meal a day now
bdi_18_2,appetite,2,My appetite is much worse now.,Lately I've only been eating a few bites of my dinner,I'm not eating very much these days,I'm rarely hungry these days,I have been eating too little food lately,There have been days that have gone by with me eating just a few bites
bdi_18_3,appetite,3,I have no appetite at all anymore.,Lately I've been skipping dinner,I'm hardly eating anything anymore,I'm never hungry these days,I don't feel any desire to eat anything lately,I haven't been able to eat properly for a month now
bdi_19_0,weight loss,0,"I haven't lost much weight, if any, lately.",I'm my usual weight,All my clothes fit me like usual,The scale says I'm normal ,I am maintaining a weight that is healthy for me ,I'm my same weight
bdi_19_1,weight loss,1,I have lost more than five pounds.,I weighed myself and I'm a bit skinnier than usual,All my clothes are getting a little loose,The scale says I'm a little lighter than I used to be,I might have to buy new clothes because it seems like I lost some weight ,I'm losing some pounds
bdi_19_2,weight loss,2,I have lost more than ten pounds.,I weighed myself and I'm skinnier than I used to be,All my clothes are loose on me ,The scale says I'm lighter than I used to be,I have to go buy smaller clothes because my clothes don't fit,I'm losing a lot of pounds
bdi_19_3,weight loss,3,I have lost more than fifteen pounds.,I weighed myself and I'm so much skinnier than I was,All my clothes are so loose on me now I think I need to buy smaller sizes,The scale says I'm way lighter than I used to be,I look completely different because I have lost so much weight,I'm losing so many pounds I feel way lighter
bdi_20_0,physical health,0,I am no more worried about my health than usual.,My stomach's feeling alright,I'm not feeling very achy ,My arm hurts a little but it's okay,I feel healthy,I feel I'm in pretty good shape
bdi_20_1,physical health,1,"I am worried about physical problems like aches, pains, upset stomach, or constipation.",My stomach's a little upset and it's stressing me out,I felt achy and it's worrying me,My arm only hurts a bit but I'm stressed,I feel my head has been hurting slightly more frequently than usual ,The usual physical problems bother me a bit more nowadays
bdi_20_2,physical health,2,I am very worried about physical problems and it's hard to think of much else.,My stomach's a little upset and it's been distracting me a lot,I felt achy and I think about it a lot,My arm only hurts a bit but I'm obsessing over it,My head keeps hurting and I'm scared it means something serious ,"I'm edging towards hypochondria, I'm too aware of anything wrong with my body"
bdi_20_3,physical health,3,I am so worried about my physical problems that I cannot think of anything else.,My stomach's a little upset and I'm obsessing over it,I felt achy and it's all I can think about,My arm only hurts a bit but it's all I'm thinking about,"My head keeps hurting, what if it means I have cancer?",I'm completely consumed by the fear of some serious affliction or illness befalling me
bdi_21_0,sex drive,0,I have not noticed any recent change in my interest in sex.,I've been enjoying making out with my boyfriend,I've been hooking up with my girlfriend like I usually do,I want sex as much as usual,I have a good sex life,I have a healthy sex life with my partner
bdi_21_1,sex drive,1,I am less interested in sex than I used to be.,I don't feel like making out with my boyfriend as much as I used to,I haven't wanted to hook up with my girlfriend as much as usual,I don't want sex as much I usually do,I don't feel like having as much sex lately,I don't feel as aroused as I used to before
bdi_21_2,sex drive,2,I have almost no interest in sex.,I rarely want to make out with my boyfriend anymore,I don't feel like hooking up with my girlfriend much anymore,I haven't wanted sex in a while,I don't really have any interest toward sex recently,I hardly ever get aroused anymore
bdi_21_3,sex drive,3,I have lost interest in sex completely.,I don't ever feel like making out with my boyfriend anymore,Hooking up with my girlfriend doesn't sound fun at all to me anymore,I don't have any desire for sex,I don't want to have sex anymore,I don't get aroused by anything at all